generation,best_fitness,avg_fitness,worst_fitness,diversity,elapsed_time
1,1.0143157821672197,-0.17598946447370706,-0.6957974977235044,0.2873233675567791,3.207362174987793
2,1.2172446568868933,0.17992023768059673,-0.7331402538090079,0.26360473181178296,4.492605686187744
3,1.6811449623006958,0.6428811989023483,-0.845736870233405,0.2382283625113946,5.670126438140869
4,1.8583795407175039,0.9714286089155064,-0.642408963435871,0.20033818006722826,6.532831907272339
5,1.8583795407175039,0.9662310952327128,-0.6134282303473548,0.18365992088411273,7.890178918838501
6,1.8583795407175039,0.8932111731900051,-0.7767319446540006,0.17838775117424827,9.466227293014526
7,1.8583795407175039,1.3599063261097613,-0.06350279541626497,0.16972491002477655,10.869599103927612
8,1.9468673477044276,1.2348341148920463,-0.4443081170412302,0.17254543877071468,12.277147769927979
9,1.9850407641020142,1.2884589334594367,-0.40001453950130106,0.1405164893267217,13.475234985351562
10,1.9850407641020142,1.2158143976601234,-0.36206523301363985,0.10789919058120861,14.792919874191284
11,2.0331973298965527,1.496456778981621,-0.6167126460075072,0.09995890343698914,16.13255548477173
12,2.0331973298965527,1.7103206041244732,-0.009308252407142635,0.07935770261497299,16.982170820236206
13,2.0331973298965527,1.5425843755127713,-0.020581787066624557,0.08487951998261221,18.34852409362793
14,2.0331973298965527,1.192749910273867,-0.5177621555002294,0.08975273050105341,19.647829055786133
15,2.076641015297537,1.1733611933553572,-0.09067545733451317,0.08972713437217282,21.108251333236694
16,2.076641015297537,1.1976399548196925,-0.36566002742683174,0.09430907715094537,22.414313316345215
17,2.1418828047256757,1.319187365116135,-0.060084634234565164,0.0844480393721496,23.6481294631958
18,2.1418828047256757,1.2217009716022063,-0.42284506471128275,0.07940114999969924,24.747968912124634
19,2.1418828047256757,0.9978286561326535,-0.49883217073275965,0.08922093641260423,26.223087310791016
20,2.1418828047256757,0.7498161848853198,-0.33913839304792875,0.0905911159848283,27.902932167053223
21,2.1418828047256757,1.2112660803338557,0.08332054145381396,0.08456845354782706,29.26430058479309
22,2.1418828047256757,1.040000704268903,-0.43657579092391813,0.0815246308494657,30.885912895202637
23,2.1418828047256757,1.1710745600299177,-0.21354519587393966,0.0885689893886909,32.00867986679077
24,2.1418828047256757,0.9323144780738163,-0.3750731876288719,0.08403519121412945,33.59701466560364
25,2.142419741111279,1.30563403355579,-0.21003670729135016,0.07708097031208425,34.77334523200989
